"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","women","Total","15_24","Total","Total","Total",0.453698515985158,287472,0.000625440173590217,0.137853696133905,8845,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","women","Total","25_64","Total","Total","Total",0.381220765358978,546459,0.000405663209998747,0.106411624670223,18657,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","women","Total","65+","Total","Total","Total",0.376226628730693,103670,0.000922861221046495,0.245293966607315,3588,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","Total","Total","00_04","Total","Total","Total",0.551486947072808,267464,0.000714151106529883,0.129495559291197,7097,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","Total","Total","05_14","Total","Total","Total",0.54858392189979,686002,0.000445009103829573,0.0811196037770248,17822,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","Total","Total","15_24","Total","Total","Total",0.439084274541137,557248,0.000440526899131788,0.10032855300777,17726,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","Total","Total","25_64","Total","Total","Total",0.375754636953836,970959,0.000301287813279611,0.0801820612839506,33613,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","Total","Total","65+","Total","Total","Total",0.396392655956603,189991,0.000706539331204762,0.178242285922198,6433,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","men","Total","Total","Total","Total","Total",0.681219921282219,733509,0.000449086710093616,0.0659238956559473,19158,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","men","Total","Total","Total","Total","Total",0.296312780768028,528606,0.000341880374962747,0.115378207472729,20170,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","women","Total","Total","Total","Total","Total",0.689932379538877,779102,0.000435248793653746,0.0630857177546369,20227,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","women","Total","Total","Total","Total","Total",0.30339518367178,630447,0.000318916968621313,0.105116028791784,23136,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","rural","Total","Total","Total","Total","Total","Total","Total",0.685679795394564,1512611,0.000312567539889268,0.0455850590886094,39385,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","urban","Total","Total","Total","Total","Total","Total","Total",0.300123591406241,1159053,0.000233216441450826,0.0777068008409739,43306,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","men","Total","Total","Total","Total","Total",0.441190350347327,1262115,0.000293567848105675,0.0665399521713392,39328,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","women","Total","Total","Total","Total","Total",0.439492868739471,1409549,0.000277141979668406,0.0630594941081271,43363,""
"year",2012,"country","SLV","SLV-EHPM","pobreza","Total","Total","Total","Total","Total","Total","Total","Total",0.440293141588363,2671664,0.000201526107069329,0.0457708939872016,82691,""
