Pais,source,year,availability,person
PER,IPUMS/IDB,1980,NA,
PER,IPUMS/IDB,1981,0,
PER,IPUMS/IDB,1982,NA,
PER,IPUMS/IDB,1984,NA,
PER,IPUMS/IDB,1985,NA,
PER,IPUMS/IDB,1988,NA,
PER,IPUMS/IDB,1990,NA,
PER,IPUMS/IDB,1991,NA,
PER,IPUMS/IDB,1992,NA,
PER,IPUMS/IDB,1993,1,
PER,IPUMS/IDB,1994,NA,
PER,IPUMS/IDB,1995,NA,
PER,IPUMS/IDB,1996,NA,
PER,IPUMS/IDB,2000,NA,
PER,IPUMS/IDB,2001,NA,
PER,IPUMS/IDB,2002,NA,
PER,IPUMS/IDB,2003,NA,
PER,IPUMS/IDB,2004,NA,
PER,IPUMS/IDB,2005,NA,
PER,IPUMS/IDB,2006,NA,
PER,IPUMS/IDB,2007,1,David
PER,IPUMS/IDB,2010,NA,
PER,IPUMS/IDB,2011,NA,
PER,IPUMS/IDB,2012,NA,
PER,IPUMS/IDB,2013,NA,
PER,IPUMS/IDB,2015,NA,
PER,IPUMS/IDB,2017,1,
PER,IPUMS/IDB,2018,NA,
PER,IPUMS/IDB,2020,NA,
SLV,IPUMS,1960,NA,
SLV,IPUMS,1961,NA,
SLV,IPUMS,1962,NA,
SLV,IPUMS,1963,NA,
SLV,IPUMS,1964,NA,
SLV,IPUMS,1970,NA,
SLV,IPUMS,1971,NA,
SLV,IPUMS,1972,NA,
SLV,IPUMS,1973,NA,
SLV,IPUMS,1974,NA,
SLV,IPUMS,1975,NA,
SLV,IPUMS,1976,NA,
SLV,IPUMS,1980,NA,
SLV,IPUMS,1981,NA,
SLV,IPUMS,1982,NA,
SLV,IPUMS,1984,NA,
SLV,IPUMS,1985,NA,
SLV,IPUMS,1988,NA,
SLV,IPUMS,1990,NA,
SLV,IPUMS,1991,NA,
SLV,IPUMS,1992,1,
SLV,IPUMS,1993,NA,
SLV,IPUMS,1994,NA,
SLV,IPUMS,1995,NA,
SLV,IPUMS,1996,NA,
SLV,IPUMS,2000,NA,
SLV,IPUMS,2001,NA,
SLV,IPUMS,2002,NA,
SLV,IPUMS,2003,NA,
SLV,IPUMS,2004,NA,
SLV,IPUMS,2005,NA,
SLV,IPUMS,2006,NA,
SLV,IPUMS,2007,1,David
SLV,IPUMS,2010,NA,
SLV,IPUMS,2011,NA,
SLV,IPUMS,2012,NA,
SLV,IPUMS,2013,NA,
SLV,IPUMS,2015,NA,
SLV,IPUMS,2017,NA,
SLV,IPUMS,2018,NA,
SLV,IPUMS,2020,NA,
SUR,IPUMS,1960,NA,
SUR,IPUMS,1961,NA,
SUR,IPUMS,1962,NA,
SUR,IPUMS,1963,NA,
SUR,IPUMS,1964,NA,
SUR,IPUMS,1970,NA,
SUR,IPUMS,1971,NA,
SUR,IPUMS,1972,NA,
SUR,IPUMS,1973,NA,
SUR,IPUMS,1974,NA,
SUR,IPUMS,1975,NA,
SUR,IPUMS,1976,NA,
SUR,IPUMS,1980,NA,
SUR,IPUMS,1981,NA,
SUR,IPUMS,1982,NA,
SUR,IPUMS,1984,NA,
SUR,IPUMS,1985,NA,
SUR,IPUMS,1988,NA,
SUR,IPUMS,1990,NA,
SUR,IPUMS,1991,NA,
SUR,IPUMS,1992,NA,
SUR,IPUMS,1993,NA,
SUR,IPUMS,1994,NA,
SUR,IPUMS,1995,NA,
SUR,IPUMS,1996,NA,
SUR,IPUMS,2000,NA,
SUR,IPUMS,2001,NA,
SUR,IPUMS,2002,NA,
SUR,IPUMS,2003,NA,
SUR,IPUMS,2004,1,David
SUR,IPUMS,2005,NA,
SUR,IPUMS,2006,NA,
SUR,IPUMS,2007,NA,
SUR,IPUMS,2010,NA,
SUR,IPUMS,2011,NA,
SUR,IPUMS,2012,1,David
SUR,IPUMS,2013,NA,
SUR,IPUMS,2015,NA,
SUR,IPUMS,2017,NA,
SUR,IPUMS,2018,NA,
SUR,IPUMS,2020,NA,
TTO,IPUMS,1960,NA,
TTO,IPUMS,1961,NA,
TTO,IPUMS,1962,NA,
TTO,IPUMS,1963,NA,
TTO,IPUMS,1964,NA,
TTO,IPUMS,1970,1,
TTO,IPUMS,1971,NA,
TTO,IPUMS,1972,NA,
TTO,IPUMS,1973,NA,
TTO,IPUMS,1974,NA,
TTO,IPUMS,1975,NA,
TTO,IPUMS,1976,NA,
TTO,IPUMS,1980,1,
TTO,IPUMS,1981,NA,
TTO,IPUMS,1982,NA,
TTO,IPUMS,1984,NA,
TTO,IPUMS,1985,NA,
TTO,IPUMS,1988,NA,
TTO,IPUMS,1990,1,
TTO,IPUMS,1991,NA,
TTO,IPUMS,1992,NA,
TTO,IPUMS,1993,NA,
TTO,IPUMS,1994,NA,
TTO,IPUMS,1995,NA,
TTO,IPUMS,1996,NA,
TTO,IPUMS,2000,1,David
TTO,IPUMS,2001,NA,
TTO,IPUMS,2002,NA,
TTO,IPUMS,2003,NA,
TTO,IPUMS,2004,NA,
TTO,IPUMS,2005,NA,
TTO,IPUMS,2006,NA,
TTO,IPUMS,2007,NA,
TTO,IPUMS,2010,NA,
TTO,IPUMS,2011,1,David
TTO,IPUMS,2012,NA,
TTO,IPUMS,2013,NA,
TTO,IPUMS,2015,NA,
TTO,IPUMS,2017,NA,
TTO,IPUMS,2018,NA,
TTO,IPUMS,2020,NA,
URY,IPUMS,1960,NA,
URY,IPUMS,1961,NA,
URY,IPUMS,1962,NA,
URY,IPUMS,1963,1,
URY,IPUMS,1964,NA,
URY,IPUMS,1970,NA,
URY,IPUMS,1971,NA,
URY,IPUMS,1972,NA,
URY,IPUMS,1973,NA,
URY,IPUMS,1974,NA,
URY,IPUMS,1975,1,
URY,IPUMS,1976,NA,
URY,IPUMS,1980,NA,
URY,IPUMS,1981,NA,
URY,IPUMS,1982,NA,
URY,IPUMS,1984,NA,
URY,IPUMS,1985,1,
URY,IPUMS,1988,NA,
URY,IPUMS,1990,NA,
URY,IPUMS,1991,NA,
URY,IPUMS,1992,NA,
URY,IPUMS,1993,NA,
URY,IPUMS,1994,NA,
URY,IPUMS,1995,NA,
URY,IPUMS,1996,1,
URY,IPUMS,2000,NA,
URY,IPUMS,2001,NA,
URY,IPUMS,2002,NA,
URY,IPUMS,2003,NA,
URY,IPUMS,2004,NA,
URY,IPUMS,2005,NA,
URY,IPUMS,2006,1,David
URY,IPUMS,2007,NA,
URY,IPUMS,2010,NA,
URY,IPUMS,2011,1,David
URY,IPUMS,2012,NA,
URY,IPUMS,2013,NA,
URY,IPUMS,2015,NA,
URY,IPUMS,2017,NA,
URY,IPUMS,2018,NA,
URY,IPUMS,2020,NA,
VEN,IPUMS,1960,NA,
VEN,IPUMS,1961,NA,
VEN,IPUMS,1962,NA,
VEN,IPUMS,1963,NA,
VEN,IPUMS,1964,NA,
VEN,IPUMS,1970,NA,
VEN,IPUMS,1971,1,
VEN,IPUMS,1972,NA,
VEN,IPUMS,1973,NA,
VEN,IPUMS,1974,NA,
VEN,IPUMS,1975,NA,
VEN,IPUMS,1976,NA,
VEN,IPUMS,1980,NA,
VEN,IPUMS,1981,1,
VEN,IPUMS,1982,NA,
VEN,IPUMS,1984,NA,
VEN,IPUMS,1985,NA,
VEN,IPUMS,1988,NA,
VEN,IPUMS,1990,1,
VEN,IPUMS,1991,NA,
VEN,IPUMS,1992,NA,
VEN,IPUMS,1993,NA,
VEN,IPUMS,1994,NA,
VEN,IPUMS,1995,NA,
VEN,IPUMS,1996,NA,
VEN,IPUMS,2000,NA,
VEN,IPUMS,2001,1,David
VEN,IPUMS,2002,NA,
VEN,IPUMS,2003,NA,
VEN,IPUMS,2004,NA,
VEN,IPUMS,2005,NA,
VEN,IPUMS,2006,NA,
VEN,IPUMS,2007,NA,
VEN,IPUMS,2010,NA,
VEN,IPUMS,2011,NA,
VEN,IPUMS,2012,NA,
VEN,IPUMS,2013,NA,
VEN,IPUMS,2015,NA,
VEN,IPUMS,2017,NA,
VEN,IPUMS,2018,NA,
VEN,IPUMS,2020,NA,
