Pais,source,year,availability,person
COL,IDB/external,2011,NA,
COL,IDB/external,2012,NA,
COL,IDB/external,2013,NA,
COL,IDB/external,2015,NA,
COL,IDB/external,2017,NA,
COL,IDB/external,2018,1,
COL,IDB/external,2020,NA,
CRI,IPUMS,1960,NA,
CRI,IPUMS,1961,NA,
CRI,IPUMS,1962,NA,
CRI,IPUMS,1963,1,
CRI,IPUMS,1964,NA,
CRI,IPUMS,1970,NA,
CRI,IPUMS,1971,NA,
CRI,IPUMS,1972,NA,
CRI,IPUMS,1973,1,
CRI,IPUMS,1974,NA,
CRI,IPUMS,1975,NA,
CRI,IPUMS,1976,NA,
CRI,IPUMS,1980,NA,
CRI,IPUMS,1981,NA,
CRI,IPUMS,1982,NA,
CRI,IPUMS,1984,1,
CRI,IPUMS,1985,NA,
CRI,IPUMS,1988,NA,
CRI,IPUMS,1990,NA,
CRI,IPUMS,1991,NA,
CRI,IPUMS,1992,NA,
CRI,IPUMS,1993,NA,
CRI,IPUMS,1994,NA,
CRI,IPUMS,1995,NA,
CRI,IPUMS,1996,NA,
CRI,IPUMS,2000,1,David
CRI,IPUMS,2001,NA,
CRI,IPUMS,2002,NA,
CRI,IPUMS,2003,NA,
CRI,IPUMS,2004,NA,
CRI,IPUMS,2005,NA,
CRI,IPUMS,2006,NA,
CRI,IPUMS,2007,NA,
CRI,IPUMS,2010,NA,
CRI,IPUMS,2011,1,David
CRI,IPUMS,2012,NA,
CRI,IPUMS,2013,NA,
CRI,IPUMS,2015,NA,
CRI,IPUMS,2017,NA,
CRI,IPUMS,2018,NA,
CRI,IPUMS,2020,NA,
DOM,IPUMS,1960,1,
DOM,IPUMS,1961,NA,
DOM,IPUMS,1962,NA,
DOM,IPUMS,1963,NA,
DOM,IPUMS,1964,NA,
DOM,IPUMS,1970,1,
DOM,IPUMS,1971,NA,
DOM,IPUMS,1972,NA,
DOM,IPUMS,1973,NA,
DOM,IPUMS,1974,NA,
DOM,IPUMS,1975,NA,
DOM,IPUMS,1976,NA,
DOM,IPUMS,1980,NA,
DOM,IPUMS,1981,1,
DOM,IPUMS,1982,NA,
DOM,IPUMS,1984,NA,
DOM,IPUMS,1985,NA,
DOM,IPUMS,1988,NA,
DOM,IPUMS,1990,NA,
DOM,IPUMS,1991,NA,
DOM,IPUMS,1992,NA,
DOM,IPUMS,1993,NA,
DOM,IPUMS,1994,NA,
DOM,IPUMS,1995,NA,
DOM,IPUMS,1996,NA,
DOM,IPUMS,2000,NA,
DOM,IPUMS,2001,NA,
DOM,IPUMS,2002,1,David
DOM,IPUMS,2003,NA,
DOM,IPUMS,2004,NA,
DOM,IPUMS,2005,NA,
DOM,IPUMS,2006,NA,
DOM,IPUMS,2007,NA,
DOM,IPUMS,2010,1,David
DOM,IPUMS,2011,NA,
DOM,IPUMS,2012,NA,
DOM,IPUMS,2013,NA,
